match_id,tournament_id,group_id,match_name,stage_name,replay,match_date,match_time,stadium_id,home_team_id,away_team_id,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties
M-2006-17,WC-2006,100.0,Germany vs Poland,group stage,0,2006-06-14,21:00,S-083,T-31,T-57,1,0,0,0,0,0
M-2006-18,WC-2006,100.0,Ecuador vs Costa Rica,group stage,0,2006-06-15,15:00,S-089,T-25,T-17,3,0,0,0,0,0
M-2006-19,WC-2006,101.0,England vs Trinidad and Tobago,group stage,0,2006-06-15,18:00,S-097,T-28,T-78,2,0,0,0,0,0
M-2006-20,WC-2006,101.0,Sweden vs Paraguay,group stage,0,2006-06-15,21:00,S-080,T-74,T-55,1,0,0,0,0,0
M-2006-21,WC-2006,102.0,Argentina vs Serbia and Montenegro,group stage,0,2006-06-16,15:00,S-087,T-03,T-67,6,0,0,0,0,0
M-2006-22,WC-2006,102.0,Netherlands vs Ivory Coast,group stage,0,2006-06-16,18:00,S-099,T-48,T-42,2,1,0,0,0,0
M-2006-23,WC-2006,103.0,Mexico vs Angola,group stage,0,2006-06-16,21:00,S-090,T-46,T-02,0,0,0,0,0,0
M-2006-24,WC-2006,103.0,Portugal vs Iran,group stage,0,2006-06-17,15:00,S-086,T-58,T-38,2,0,0,0,0,0
M-2006-25,WC-2006,104.0,Czech Republic vs Ghana,group stage,0,2006-06-17,18:00,S-082,T-20,T-32,0,2,0,0,0,0
M-2006-26,WC-2006,104.0,Italy vs United States,group stage,0,2006-06-17,21:00,S-091,T-41,T-83,1,1,0,0,0,0
M-2006-27,WC-2006,105.0,Japan vs Croatia,group stage,0,2006-06-18,15:00,S-097,T-44,T-18,0,0,0,0,0,0
M-2006-28,WC-2006,105.0,Brazil vs Australia,group stage,0,2006-06-18,18:00,S-095,T-09,T-04,2,0,0,0,0,0
M-2006-29,WC-2006,106.0,France vs South Korea,group stage,0,2006-06-18,21:00,S-092,T-30,T-71,1,1,0,0,0,0
M-2006-30,WC-2006,106.0,Togo vs Switzerland,group stage,0,2006-06-19,15:00,S-083,T-77,T-75,0,2,0,0,0,0
M-2006-31,WC-2006,107.0,Saudi Arabia vs Ukraine,group stage,0,2006-06-19,18:00,S-089,T-63,T-81,0,4,0,0,0,0
