team_performance_id,tournament_id,team_id,count_matches,performance
TP-148,WC-1974,T-64,3,group stage
TP-149,WC-1974,T-74,6,second group stage
TP-150,WC-1974,T-84,3,group stage
TP-151,WC-1974,T-86,7,final
TP-152,WC-1974,T-87,6,second group stage
TP-153,WC-1974,T-88,3,group stage
TP-154,WC-1978,T-03,7,final
TP-155,WC-1978,T-05,6,second group stage
TP-156,WC-1978,T-09,7,third-place match
TP-157,WC-1978,T-30,3,group stage
TP-158,WC-1978,T-36,3,group stage
TP-159,WC-1978,T-38,3,group stage
TP-160,WC-1978,T-41,7,third-place match
TP-161,WC-1978,T-46,3,group stage
TP-162,WC-1978,T-48,7,final
TP-163,WC-1978,T-56,6,second group stage
TP-164,WC-1978,T-57,6,second group stage
TP-165,WC-1978,T-64,3,group stage
TP-166,WC-1978,T-73,3,group stage
TP-167,WC-1978,T-74,3,group stage
TP-168,WC-1978,T-79,3,group stage
TP-169,WC-1978,T-86,6,second group stage
TP-170,WC-1982,T-01,3,group stage
TP-171,WC-1982,T-03,5,second group stage
TP-172,WC-1982,T-05,5,second group stage
TP-173,WC-1982,T-06,5,second group stage
TP-174,WC-1982,T-09,5,second group stage
TP-175,WC-1982,T-11,3,group stage
TP-176,WC-1982,T-13,3,group stage
TP-177,WC-1982,T-21,3,group stage
TP-178,WC-1982,T-27,3,group stage
TP-179,WC-1982,T-28,5,second group stage
TP-180,WC-1982,T-30,7,third-place match
TP-181,WC-1982,T-35,3,group stage
TP-182,WC-1982,T-36,3,group stage
TP-183,WC-1982,T-41,7,final
TP-184,WC-1982,T-45,3,group stage
TP-185,WC-1982,T-49,3,group stage
TP-186,WC-1982,T-52,5,second group stage
TP-187,WC-1982,T-56,3,group stage
TP-188,WC-1982,T-57,7,third-place match
TP-189,WC-1982,T-64,3,group stage
TP-190,WC-1982,T-72,5,second group stage
TP-191,WC-1982,T-73,5,second group stage
TP-192,WC-1982,T-86,7,final
TP-193,WC-1982,T-87,3,group stage
TP-194,WC-1986,T-01,3,group stage
TP-195,WC-1986,T-03,7,final
